open,high,low,close,volume,vwap,timestamp,transactions,otc
92.0569,92.0569,91.9732,91.9732,1048.892,91.9591,2023-08-02 08:00:00,16,
91.9732,91.9732,91.9732,91.9732,855.14,91.9732,2023-08-02 08:01:00,9,
91.9732,91.9732,91.9732,91.9732,355.212,91.9732,2023-08-02 08:02:00,3,
91.8478,91.8478,91.8478,91.8478,259.532,91.8478,2023-08-02 08:18:00,2,
91.8478,91.8478,91.8478,91.8478,669.76,91.8478,2023-08-02 08:19:00,3,
91.8478,91.8478,91.8478,91.8478,1157.728,91.8464,2023-08-02 08:21:00,4,
91.6472,91.6472,91.6472,91.6472,239.2,91.6472,2023-08-02 08:26:00,1,
91.6472,91.6472,91.6388,91.6388,369.564,91.6472,2023-08-02 08:27:00,3,
91.4716,91.4716,91.4716,91.4716,717.6,91.485,2023-08-02 08:28:00,14,
91.3462,91.3462,91.3462,91.3462,392.288,91.3462,2023-08-02 08:50:00,6,
91.3462,91.3462,91.3462,91.3462,119.6,91.3462,2023-08-02 08:51:00,1,
91.388,91.388,91.388,91.388,157.872,91.388,2023-08-02 08:54:00,2,
91.5552,91.5552,91.5552,91.5552,828.828,91.5294,2023-08-02 09:00:00,11,
91.6806,91.6806,91.6806,91.6806,304.98,91.6307,2023-08-02 09:19:00,10,
91.5217,91.5217,91.5217,91.5217,125.58,91.5217,2023-08-02 09:41:00,2,
91.6388,91.6388,91.6388,91.6388,281.06,91.617,2023-08-02 09:47:00,4,
91.7391,91.7391,91.7391,91.7391,254.748,91.7229,2023-08-02 09:49:00,5,
91.714,91.714,91.714,91.714,383.916,91.7056,2023-08-02 10:02:00,9,
91.7224,91.806,91.7224,91.806,657.8,91.7413,2023-08-02 10:03:00,5,
91.806,91.806,91.806,91.806,393.484,91.8556,2023-08-02 10:43:00,10,
91.9231,91.9231,91.9231,91.9231,334.88,91.9074,2023-08-02 10:44:00,6,
91.9983,91.9983,91.9983,91.9983,233.22,91.9868,2023-08-02 10:48:00,6,
91.9231,91.9565,91.9231,91.9565,1722.24,91.9298,2023-08-02 11:00:00,47,
91.8729,91.8729,91.806,91.806,565.708,91.8692,2023-08-02 11:01:00,9,
91.9732,91.9732,91.9732,91.9732,320.528,91.9809,2023-08-02 11:27:00,11,
91.9732,91.9732,91.9732,91.9732,200.928,91.9732,2023-08-02 11:33:00,2,
91.9816,91.9816,91.9816,91.9816,287.04,91.9816,2023-08-02 11:52:00,3,
91.9816,91.9816,91.9816,91.9816,709.228,91.9801,2023-08-02 11:54:00,10,
92.2074,92.2074,92.2074,92.2074,998.66,92.1211,2023-08-02 12:00:00,21,
92.0569,92.0569,92.0401,92.0401,1198.392,92.0435,2023-08-02 12:13:00,15,
92.0485,92.0485,92.0485,92.0485,449.696,92.0468,2023-08-02 12:18:00,3,
91.9732,91.9732,91.9732,91.9732,504.712,92.0242,2023-08-02 12:24:00,16,
91.9732,91.9732,91.9732,91.9732,1197.196,91.9735,2023-08-02 12:30:00,2,
92.0401,92.0401,92.0401,92.0401,922.116,92.044,2023-08-02 12:38:00,21,
92.0401,92.0401,91.7893,91.7893,1303.64,91.9472,2023-08-02 12:39:00,40,
91.9398,91.9398,91.9398,91.9398,769.028,91.9417,2023-08-02 12:48:00,17,
91.806,91.806,91.806,91.806,466.44,91.8472,2023-08-02 13:03:00,5,
91.7893,91.7893,91.7893,91.7893,119.6,91.7893,2023-08-02 13:20:00,1,
91.7809,91.7809,91.7809,91.7809,3745.872,91.7787,2023-08-02 13:29:00,19,
91.5552,91.8896,90.9281,91.0117,174098.132,91.394,2023-08-02 13:30:00,1330,
91.1037,91.1037,90.7525,90.7776,17688.84,90.951,2023-08-02 13:31:00,271,
90.7609,90.8445,90.4348,90.6773,40329.12,90.6287,2023-08-02 13:32:00,521,
90.7273,90.8278,90.602,90.6689,11119.212,90.6886,2023-08-02 13:33:00,180,
90.6691,90.786,90.51,90.7191,12013.82,90.6497,2023-08-02 13:34:00,265,
90.8194,90.9156,90.7716,90.811,3919.292,90.8531,2023-08-02 13:35:00,102,
90.8194,91.0702,90.8194,91.0493,10345.4,90.9667,2023-08-02 13:36:00,203,
91.0702,91.2207,90.9699,91.2166,4598.62,91.0857,2023-08-02 13:37:00,124,
91.2458,91.3127,91.1204,91.1204,18792.748,91.2134,2023-08-02 13:38:00,180,
91.0535,91.2124,91.0493,91.1957,9788.064,91.1246,2023-08-02 13:39:00,202,
91.2123,91.2123,91.1455,91.1706,3683.68,91.1536,2023-08-02 13:40:00,114,
91.1697,91.2124,91.087,91.1768,17648.176,91.1647,2023-08-02 13:41:00,310,
91.1747,91.1957,91.0201,91.1037,3731.52,91.1263,2023-08-02 13:42:00,87,
91.1037,91.1873,91.062,91.1371,6178.536,91.1511,2023-08-02 13:43:00,136,
91.1513,91.2375,91.0452,91.112,24108.968,91.1861,2023-08-02 13:44:00,319,
91.1288,91.1706,90.9699,91.0201,7574.268,91.0985,2023-08-02 13:45:00,155,
91.0273,91.1706,90.9824,91.087,10647.988,91.0425,2023-08-02 13:46:00,242,
